"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"1678","Citrus Circuits","","1957","1900","78.5","18.4","44.1","11.7","0.84","0.67","","1"
"1114","Simbotics","","1851","1781","66.1","13.2","42.7","8","0.59","0.44","","2"
"103","Cybersonics","","1818","1744","62.2","12.6","40.4","8.5","0.55","0.31","","3"
"8013","Boston Lions","","1762","1678","55.6","13.8","32.2","8","0.39","0.32","","4"
"3476","Code Orange","","1849","1779","65.8","16.3","39.4","7.7","0.49","0.39","","5"
"6800","Valor","","1781","1703","57.9","12.4","37","8.4","0.38","0.47","","6"
"4451","ROBOTZ Garage","","1783","1704","58","15.1","34.1","8.5","0.51","0.41","","7"
"3539","Byting Bulldogs","","1726","1640","51.3","11.6","28","9.5","0.49","0.38","","8"
"7197","Mountie Megabots","","1695","1621","47.8","8.9","29.1","8.2","0.31","0.34","","9"
"3467","Windham Windup","","1883","1817","69.8","16.7","41.5","8.5","0.72","0.49","","10"
"67","The HOT Team","","1847","1777","65.6","16.8","39.3","7.4","0.64","0.25","","11"
"1690","Orbit","","1861","1792","67.3","16.7","40.1","8.4","0.62","0.49","","12"
"59","RamTech","","1778","1699","57.5","11.1","37","8.9","0.37","0.17","","13"
"2630","Thunderbolts","","1760","1675","55.3","11.8","33.9","7.8","0.49","0.4","","14"
"7258","Robolobos - Hiawatha Colleg...","","1634","1582","40.6","10.5","22.5","8.3","0.18","0.25","","15"
"5166","Fabricators","","1835","1763","64.2","17.4","35.7","7.7","0.47","0.34","","16"
"3005","RoboChargers","","1934","1875","75.9","18.7","47","7.1","0.75","0.34","","17"
"4381","Twisted Devils","","1817","1742","62","17.7","35.3","7.3","0.54","0.46","","18"
"8033","Highlander Robotics","","1806","1731","60.8","11.9","39.1","8.7","0.53","0.38","","19"
"948","NRG (Newport Robotics Group)","","1716","1634","50.3","12.7","29.2","8.3","0.27","0.24","","20"
"5010","Tiger Dynasty","","1758","1673","55.1","12","33.7","8.7","0.47","0.47","","21"
"7461","Sushi Squad","","1769","1689","56.5","14.6","31.1","8.5","0.53","0.3","","22"
"3996","RIKITIK","","1667","1603","44.5","13.4","19.9","10.6","0.08","0.53","","23"
"5199","Robot Dolphins From Outer S...","","1781","1702","57.9","13","35","8.3","0.34","0.31","","24"
"6722","LED Robotics","","1762","1678","55.6","15.3","33","7.3","0.41","0.46","","25"
"4786","Nicolet FEAR","","1749","1663","54.1","16","29.4","8","0.33","0.49","","26"
"5801","CTC Inspire","","1688","1617","47","10.3","26.6","9.3","0.22","0.39","","27"
"1591","Greece Gladiators","","1816","1741","61.9","17.2","34.4","8.3","0.41","0.38","","28"
"3536","Electro Eagles","","1701","1625","48.5","11.9","28.6","7.1","0.34","0.15","","29"
"599","The Robodox","","1701","1625","48.5","13.2","27.4","7.5","0.1","0.31","","30"
"1318","Issaquah Robotics Society","","1848","1778","65.8","16.1","39.6","7.2","0.47","0.53","","31"
"9128","ITKAN Robotics: Team Tawasaw","","1754","1669","54.7","12.5","36.5","5.1","0.33","0.04","","32"
"5987","Galaxia in memory of David ...","","1795","1718","59.5","14.1","34.5","7.9","0.41","0.26","","33"
"4481","Team Rembrandts","","1798","1722","59.9","14.8","36.6","7.1","0.59","0.22","","34"
"968","RAWC (Robotics Alliance Of ...","","1617","1572","38.6","9.5","21.6","8.1","0.16","0.22","","35"
"3534","House of Cards","","1717","1635","50.4","16","28.3","6.2","0.16","0.16","","36"
"4009","Duluth DNA Robotics","","1657","1597","43.4","10.9","25.6","6.2","0.16","0.18","","37"
"2834","Bionic Black Hawks","","1711","1631","49.6","13.5","28.8","6.8","0.35","0.28","","38"
"836","The RoboBees","","1730","1644","51.8","13.5","28.8","8.4","0.34","0.39","","39"
"4422","Twisted Angels","","1759","1674","55.2","13.5","32.2","8.4","0.24","0.52","","40"
"2337","EngiNERDs","","1777","1698","57.4","13.3","34.7","8","0.73","0.4","","41"
"4415","EPIC Robotz","","1760","1676","55.4","17","30.5","7.3","0.24","0.38","","42"
"9105","TechnoTalons","","1688","1617","47","11.6","26.6","8","0.3","0.26","","43"
"3603","Cyber Coyotes","","1589","1553","35.3","9.1","20.7","6.6","0.11","0.2","","44"
"461","Westside Boiler Invasion","","1821","1747","62.6","14.3","38.2","7.1","0.38","0.25","","45"
"1701","RoboCubs","","1771","1691","56.7","13.6","32.1","9.2","0.43","0.35","","46"
"2194","Fondy Fire","","1693","1620","47.5","10","26.8","10.6","0.25","0.47","","47"
"2551","Penguin Empire","","1690","1618","47.2","11.1","27.8","7.8","0.24","0.31","","48"
"7657","ThunderBots","","1692","1619","47.5","13.7","25.5","7.3","0.23","0.19","","49"
"1165","Team Paradise","","1487","1482","23.3","10.2","9.4","4.5","-0.07","0.13","","50"
"2910","Jack in the Bot","","1922","1861","74.4","17.8","43.9","8.6","0.96","0.31","","51"
"2881","Lady Cans","","1753","1667","54.6","11.5","33.9","7.3","0.28","0.12","","52"
"5586","Bond Brigade","","1690","1618","47.2","11.4","28.2","8","0.33","0.23","","53"
"2383","Ninjineers","","1652","1594","42.7","9.7","26.7","5.7","0.06","0.12","","54"
"5985","Project Bucephalus","","1580","1548","34.3","10.3","18.9","5.3","0.08","0.09","","55"
"3042","Cobalt Catalysts","","1542","1522","29.8","8.9","12.3","8.9","0.01","0.34","","56"
"9138","Robo Hawks","","1505","1496","25.4","6.3","11.7","7.8","-0.08","0.34","","57"
"2830","Riverside RoboTigers","","1629","1579","40","11.3","20.8","7.4","-0.01","0.17","","58"
"4571","Rambots","","1561","1535","32","7.7","16.4","8.4","0.02","0.3","","59"
"2714","♨️ BBQ ♨️","","1751","1665","54.3","13.8","30.9","8.4","0.28","0.53","","60"
"2614","Mountaineer Area RoboticS (...","","1697","1622","48","15.2","25.5","6.3","0.22","0.4","","61"
"1622","Team Spyder","","1644","1589","41.8","11.6","26","3.7","0.34","0.18","","62"
"5427","Steel Talons","","1656","1596","43.2","9.9","24.5","8","0.16","0.27","","63"
"5557","BB-R8ERS","","1592","1556","35.7","9","19.9","7.4","0.19","0.34","","64"
"6702","PrepaTec - StingBots","","1482","1479","22.8","7.6","12.1","4","-0.15","0.03","","65"
"9031","Wildbots","","1476","1473","22","5.7","10.2","6.7","0","0.31","","66"
