"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"3478","PrepaTec - LamBot","true","1652","1603","27.5","10.3","14.3","2.8","0.46","0.11","","1"
"7421","PrepaTec - OVERTURE","true","1586","1562","22","8","11.5","2.5","0.27","0.1","","2"
"4635","PrepaTec - Botbusters","true","1663","1610","28.4","12.3","13.3","2.8","0.45","0","","3"
"4403","PrepaTec - ROULT - Peñoles","true","1610","1577","24","8.7","14.3","1.1","0.19","-0.01","","4"
"6017","PrepaTec - Cyberius","true","1522","1520","16.8","4.3","10.7","1.8","0.23","-0.03","","5"
"3522","CBoT´S4","true","1546","1536","18.8","9.1","8","1.7","-0.02","-0.01","","6"
"6647","PrepaTec - VOLTEC Robotics","true","1480","1490","13.4","3.7","8","1.7","0.06","-0.02","","7"
"5948","PrepaTec - Lebotics","true","1556","1543","19.6","9.6","8.4","1.6","0.16","-0.11","","8"
"3158","PrepaTec - TECBOT","true","1532","1527","17.6","7.7","9","0.8","-0.03","-0.12","","9"
"5959","PrepaTec - Titanium Rams","true","1525","1522","17.1","5.5","9.3","2.3","0.18","0","","10"
"9053","Prepa Tecmilenio - Iron Hawks","true","1396","1409","6.5","3","2.5","1","-0.11","0.07","","11"
"4400","Cerbotics - Peñoles","true","1568","1551","20.6","5.4","13.3","1.9","0.16","-0.11","","12"
"9280","PrepaTec - High Altitude Ro...","true","1460","1474","11.7","4.5","6.7","0.6","0.07","0.09","","13"
"5887","PrepaTec IMPERATOR","true","1415","1431","8.1","3.2","4","0.9","-0.03","-0.12","","14"
"4723","Prepa Tecmilenio - EARTH - ...","true","1479","1489","13.3","2.7","8.3","2.3","0.01","-0.11","","15"
"4371","Prepa Tecmilenio - ART 4371","true","1419","1435","8.4","1","6.8","0.6","-0.03","-0.12","","16"
"5133","PrepaTec - Blue Steel","true","1411","1426","7.7","1.4","5.5","0.8","-0.11","-0.12","","17"
"5716","PrepaTec - Keybot","true","1393","1406","6.3","1.7","2.8","1.7","-0.02","-0.01","","18"
"5932","Prepa Tecmilenio - Quetzales","true","1403","1417","7","5","1.1","0.9","-0.02","-0.03","","19"
"6170","Prepa Tecmilenio Vitronik","true","1433","1449","9.5","4.4","4.2","0.9","0.15","-0.11","","20"
"7102","PrepaTec - Daedalus","true","1511","1512","15.9","6","8.3","1.6","0","-0.11","","21"
"6106","PrepaTec - TecGear","true","1381","1391","5.3","1.7","2.9","0.7","-0.01","-0.11","","22"
"6483","Prepa Tecmilenio - CHARGER","true","1418","1434","8.3","2.3","5.4","0.7","-0.12","-0.11","","23"
"4584","SentinelFox Engineering","true","1458","1472","11.5","6.7","2.5","2.3","0","-0.12","","24"
"3933","PrepaTec - Taman Keet","true","1403","1417","7","4.4","2.1","0.6","-0.1","-0.02","","25"
"3526","PrepaTec - Blue Ignition","true","1428","1444","9.1","2.5","5.9","0.7","0.04","-0.11","","26"
"4735","Prepa Tecmilenio - DEROF - ...","true","1410","1425","7.6","3.8","3.2","0.6","-0.02","-0.02","","27"
"6652","Tigres","true","1412","1428","7.8","1.4","5.9","0.5","-0.09","-0.01","","28"
"4775","Aztech Robotics","true","1454","1468","11.2","4.3","6.2","0.8","-0.08","-0.02","","29"
"4782","PrepaTec - Borrebots","true","1407","1422","7.4","2.2","4.9","0.3","-0.11","-0.11","","30"
"9065","Prepa Tecmilenio - SpaceHawks","true","1364","1370","3.9","2","0.9","1","-0.09","-0.11","","31"
"6676","Prepa Tecmilenio - Thunder ...","true","1375","1384","4.8","2.6","1.8","0.3","-0.02","-0.03","","32"
"9301","PrepaTec Chihuahua - MechRams","true","1411","1426","7.7","1.8","4.2","1.7","-0.1","-0.11","","33"
"3472","PrepaTec - Buluk","true","1405","1419","7.2","4.2","2","1","0.07","0.05","","34"
"3794","Prepa Tecmilenio WinT","true","1445","1460","10.5","3.3","6.6","0.5","-0.01","-0.02","","35"
"9282","PrepaTec- SINAVOLT","true","1404","1419","7.2","3.7","2.8","0.6","-0.02","-0.02","","36"
"7546","Prepa Tec - MinerZ","true","1414","1430","8","2.9","4.4","0.7","-0.11","-0.11","","37"
"6832","STEAMex","true","1381","1391","5.3","2.2","1.9","1.2","-0.09","-0.11","","38"
"9213","TECUANI","true","1363","1369","3.8","2.8","0.1","0.9","0","-0.1","","39"
"8740","Prepa Tecmilenio - Quantum ...","true","1338","1334","1.7","0.7","0.6","0.4","-0.01","-0.11","","40"
"8734","Prepa Tecmilenio - DeltaT","true","1400","1413","6.8","1.9","3.9","1","-0.01","-0.02","","41"
"7725","PrepaTec - NUTS & VOLTS","true","1370","1377","4.4","0.7","3.1","0.5","-0.12","-0.02","","42"
"9593","Rhinos","true","1409","1424","7.6","3.5","3.3","0.8","-0.09","-0.11","","43"
"4010","PrepaTec - Nautilus","true","1410","1425","7.6","3.6","3.3","0.8","-0.08","-0.09","","44"
