"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"2481","Roboteers","true","1883","1990","84.1","20.2","52.5","11.5","0.6","0.47","0.5","1"
"8044","Denham Venom","true","1688","1774","55.4","14.6","34.5","6.4","0.49","0.54","0.3","2"
"4499","The Highlanders","true","1727","1817","61.1","13.3","39.1","8.7","0.44","0.34","0.5","3"
"118","Robonauts","","1790","1887","70.5","16.4","44.7","9.4","0.48","0.46","0.5","4"
"6424","Stealth Panther Robotics","true","1646","1729","49.1","13","26.8","9.4","0.46","0.14","0.5","5"
"4500","RoboHounds","true","1585","1664","40.2","11.4","23","5.7","0.33","0.14","0.2","6"
"3937","Breakaway","true","1664","1749","51.8","10.7","34.5","6.7","0.43","0.35","0.2","7"
"16","Bomb Squad","true","1576","1653","38.8","9.7","26.6","2.5","0.21","0.05","0.1","8"
"1108","Panther Robotics","true","1565","1641","37.3","8.5","23.6","5.2","0.34","0.04","0.3","9"
"2036","The Black Knights","true","1577","1655","39","9.4","23.7","5.8","0.39","-0.13","0.4","10"
"179","Children of the Swamp","true","1634","1717","47.5","14.7","28.1","4.7","0.35","0.08","0.3","11"
"3201","Ross Rambotics","true","1585","1665","40.1","5.9","23.5","10.7","0.36","-0.13","0.5","12"
"10101","Critical Hit","true","1410","1435","14.3","1.8","9.7","2.9","0.14","0.02","0.2","13"
"5002","Dragon Robotics","true","1541","1612","33.7","6.1","23.6","4","0.2","-0.05","0.2","14"
"9073","Skol Robotics","true","1383","1394","10.4","5.9","3.2","1.3","0.2","-0.07","0.1","15"
"7525","Pioneers","true","1496","1553","27.1","9.8","15.7","1.7","0.46","-0.03","0.1","16"
"6186","Hope BotCats","true","1468","1516","23","6.6","13.1","3.2","0.21","0.11","0.2","17"
"9067","The Goonies","true","1518","1582","30.4","6.3","22.9","1.2","0.33","-0.05","0","18"
"10358","Yeah8 Tech","true","1449","1490","20.2","5.6","11.8","2.8","0.35","-0.04","0.2","19"
"2341","Sprockets","true","1447","1488","19.9","3.3","12.5","4","0.17","-0.01","0.2","20"
"323","Lights Out","true","1509","1571","29","5.8","19.9","3.3","0.2","0.02","0.2","21"
"1781","Lindblom Electric Eagles","true","1550","1623","35.1","6.5","26.2","2.3","0.17","0.09","0","22"
"2399","The Fighting Unicorns","true","1518","1582","30.4","4.7","21.1","4.5","0.24","-0.02","0.3","23"
"5437","Rocky Balboabots","true","1394","1413","12.1","4.9","6.6","0.5","0.1","-0.13","-0.1","24"
"7917","Frontier","true","1481","1533","24.9","6.5","13.5","4.9","0.26","-0.13","0.3","25"
"7483","Mechanically Challenged","true","1445","1485","19.6","3.2","13.8","2.5","0.12","-0.23","0.1","26"
"7255","Mechanical Mettle","true","1409","1433","14.3","2.5","8","3.9","0.04","-0.06","0.2","27"
"6586","Tuskin' Raiders","true","1401","1424","13.1","4.6","8.7","-0.1","0.02","-0.11","-0.1","28"
"9429","Tech Titans","true","1392","1405","11.7","3.4","7.1","1.2","0.14","-0.12","-0.1","29"
"9608","Power Ponies","true","1373","1378","9","1.2","5.9","1.8","-0.07","-0.13","-0.1","30"
