"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"1690","Orbit","","1975","2074","97.7","26.6","63.2","7.9","0.55","0.88","0.4","1"
"4590","GreenBlitz","","1616","1684","44.7","11.4","28.3","5","0.47","0.18","0.3","2"
"3339","BumbleB","","1709","1785","58.4","14.9","37.1","6.4","0.5","0.34","0.3","3"
"1574","MisCar","","1648","1719","49.5","16.1","30.2","3.2","0.54","0.22","0.2","4"
"4744","Ninjas","","1622","1691","45.7","13.2","31.1","1.4","0.38","0.13","0.1","5"
"3075","Ha-Dream Team","","1614","1682","44.5","7","32.9","4.6","0.27","-0.08","0.5","6"
"5990","TRIGON","","1778","1860","68.6","17.3","48.6","2.7","0.47","0.28","0.1","7"
"6740","G3 - Glue Gun & Glitter","","1584","1652","40","8.7","27.7","3.7","0.31","-0.07","0.3","8"
"2096","RoboActive","","1618","1686","45","12.3","30","2.8","0.42","0.2","0.2","9"
"5987","Galaxia in memory of David ...","","1631","1700","47","9.6","29.1","8.3","0.18","0.07","0.6","10"
"9738","Ionic Bond","","1482","1531","25","3.9","18.8","2.4","0.31","-0.1","0.2","11"
"1576","Voltrix","","1491","1542","26.4","5","19.3","2.1","0.44","-0.07","0.1","12"
"7845","8BIT","","1543","1606","34","6.1","21.1","6.9","0.35","0.07","0.4","13"
"3065","Jatt High School","","1600","1668","42.4","5.5","35.6","1.3","0.24","0.01","0","14"
"2679","Atlantis","","1516","1573","30.1","8.1","19.9","2.1","0.32","-0.17","0.1","15"
"5654","Phoenix","","1489","1539","26","5.9","15.9","4.2","0.21","0.16","0.3","16"
"4416","Skynet","","1458","1499","21.4","5.7","12.6","3.1","0.25","0.05","0.2","17"
"3083","Artemis","","1510","1565","29.2","2.1","26.6","0.5","0.01","0","-0.1","18"
"7067","Team Streak","","1418","1445","15.6","3.9","11","0.7","0.27","0.01","0","19"
"6230","Team Koi","","1413","1438","14.9","4.5","8.9","1.5","0.24","-0.16","0","20"
"5928","MetalBoost","","1476","1523","24.1","6.5","16.1","1.6","0.29","-0.05","0.1","21"
"3316","D-Bug","","1498","1551","27.4","5.6","20.4","1.4","0.3","-0.03","0.1","22"
"3211","The Y Team","","1486","1535","25.5","4","19.2","2.3","0.33","-0.04","0.1","23"
"1943","Neat Team","","1415","1441","15.2","4.9","8.8","1.5","0.3","-0.09","0.1","24"
"5135","Black Unicorns","","1469","1514","23.1","4","16.8","2.4","0.39","-0.13","0.1","25"
"10695","Galileo","","1402","1422","13.2","3.2","9.8","0.1","0.2","-0.13","0","26"
"6168","alzahrawi","","1415","1441","15.2","3.7","11.2","0.2","0.16","0.01","-0.1","27"
"7177","Turismo","","1399","1418","12.8","1","10.2","1.6","-0.08","-0.14","0","28"
"5291","Emperius","true","1496","1548","27.1","4.3","19.5","3.3","0.23","-0.08","0.1","29"
